Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2012-05-26,Alcaldia object (101),0.00,12.00,30.00,0,2020-07-12 08:36:42+00:00,
2012-05-27,Alcaldia object (101),0.00,12.00,30.00,0,2020-07-12 08:36:42+00:00,
2012-05-28,Alcaldia object (101),0.00,13.00,29.50,0,2020-07-12 08:36:42+00:00,
2012-05-29,Alcaldia object (101),0.00,12.00,30.50,0,2020-07-12 08:36:42+00:00,
2012-05-30,Alcaldia object (101),0.00,9.00,30.50,0,2020-07-12 08:36:42+00:00,
2012-05-31,Alcaldia object (101),0.00,16.50,32.50,0,2020-07-12 08:36:42+00:00,
2012-06-01,Alcaldia object (101),9.80,15.00,31.00,0,2020-07-12 08:36:42+00:00,
2012-06-02,Alcaldia object (101),0.60,13.00,28.00,0,2020-07-12 08:36:42+00:00,
2012-06-03,Alcaldia object (101),0.00,12.50,26.00,0,2020-07-12 08:36:42+00:00,
2012-06-04,Alcaldia object (101),2.30,11.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-06-05,Alcaldia object (101),0.70,12.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-06-06,Alcaldia object (101),0.50,13.00,28.50,0,2020-07-12 08:36:42+00:00,
2012-06-07,Alcaldia object (101),0.00,13.00,29.00,0,2020-07-12 08:36:42+00:00,
2012-06-08,Alcaldia object (101),0.00,13.00,28.00,0,2020-07-12 08:36:42+00:00,
2012-06-09,Alcaldia object (101),0.00,13.00,30.00,0,2020-07-12 08:36:42+00:00,
2012-06-10,Alcaldia object (101),0.00,12.00,31.00,0,2020-07-12 08:36:42+00:00,
2012-06-11,Alcaldia object (101),0.30,11.00,30.50,0,2020-07-12 08:36:42+00:00,
2012-06-12,Alcaldia object (101),1.40,12.00,30.50,0,2020-07-12 08:36:42+00:00,
2012-06-13,Alcaldia object (101),2.20,12.50,28.50,0,2020-07-12 08:36:42+00:00,
2012-06-14,Alcaldia object (101),0.00,13.00,27.00,0,2020-07-12 08:36:42+00:00,
2012-06-15,Alcaldia object (101),0.30,13.00,29.00,0,2020-07-12 08:36:42+00:00,
2012-06-16,Alcaldia object (101),6.10,13.00,20.00,0,2020-07-12 08:36:42+00:00,
2012-06-17,Alcaldia object (101),10.40,14.00,20.00,0,2020-07-12 08:36:42+00:00,
2012-06-18,Alcaldia object (101),1.00,14.00,26.00,0,2020-07-12 08:36:42+00:00,
2012-06-19,Alcaldia object (101),18.00,14.50,28.00,0,2020-07-12 08:36:42+00:00,
2012-06-20,Alcaldia object (101),4.50,14.00,26.00,0,2020-07-12 08:36:42+00:00,
2012-06-21,Alcaldia object (101),0.20,14.00,21.50,0,2020-07-12 08:36:42+00:00,
2012-06-22,Alcaldia object (101),24.40,13.00,25.00,1,2020-07-12 08:36:42+00:00,
2012-06-23,Alcaldia object (101),0.00,13.00,24.50,0,2020-07-12 08:36:42+00:00,
2012-06-24,Alcaldia object (101),8.70,15.00,26.00,0,2020-07-12 08:36:42+00:00,
2012-06-25,Alcaldia object (101),0.00,12.00,25.50,0,2020-07-12 08:36:43+00:00,
2012-06-26,Alcaldia object (101),0.30,13.00,26.00,0,2020-07-12 08:36:43+00:00,
2012-06-27,Alcaldia object (101),0.00,13.00,24.00,0,2020-07-12 08:36:43+00:00,
2012-06-28,Alcaldia object (101),7.00,15.00,22.00,0,2020-07-12 08:36:43+00:00,
2012-06-29,Alcaldia object (101),0.00,14.00,26.50,0,2020-07-12 08:36:43+00:00,
2012-06-30,Alcaldia object (101),2.40,14.00,24.50,1,2020-07-12 08:36:43+00:00,
2012-07-01,Alcaldia object (101),0.50,14.00,25.00,0,2020-07-12 08:36:43+00:00,
2012-07-02,Alcaldia object (101),9.50,14.00,25.00,1,2020-07-12 08:36:43+00:00,
2012-07-03,Alcaldia object (101),0.50,12.00,25.00,0,2020-07-12 08:36:43+00:00,
2012-07-04,Alcaldia object (101),7.30,11.00,19.00,0,2020-07-12 08:36:43+00:00,
2012-07-05,Alcaldia object (101),5.00,11.00,24.00,0,2020-07-12 08:36:43+00:00,
2012-07-06,Alcaldia object (101),10.30,11.00,25.00,1,2020-07-12 08:36:43+00:00,
2012-07-07,Alcaldia object (101),0.00,11.00,25.00,0,2020-07-12 08:36:43+00:00,
2012-07-08,Alcaldia object (101),0.30,11.00,26.00,0,2020-07-12 08:36:43+00:00,
2012-07-09,Alcaldia object (101),6.40,14.00,27.00,1,2020-07-12 08:36:43+00:00,
2012-07-10,Alcaldia object (101),1.00,14.50,22.50,0,2020-07-12 08:36:43+00:00,
2012-07-11,Alcaldia object (101),0.00,13.00,25.00,0,2020-07-12 08:36:43+00:00,
2012-07-12,Alcaldia object (101),1.00,13.00,25.00,0,2020-07-12 08:36:43+00:00,
2012-07-13,Alcaldia object (101),15.50,14.50,23.00,1,2020-07-12 08:36:43+00:00,
2012-07-14,Alcaldia object (101),39.10,14.00,20.00,1,2020-07-12 08:36:43+00:00,
2012-07-15,Alcaldia object (101),7.50,13.00,22.00,0,2020-07-12 08:36:43+00:00,
