Fecha,Alcaldía,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2018-09-10,Alcaldia object (101),0.00,15.00,27.00,0,2020-07-12 08:37:07+00:00,
2018-09-11,Alcaldia object (101),15.70,11.00,23.50,0,2020-07-12 08:37:07+00:00,
2018-09-12,Alcaldia object (101),9.80,14.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-09-13,Alcaldia object (101),1.20,12.00,24.00,0,2020-07-12 08:37:07+00:00,
2018-09-14,Alcaldia object (101),0.00,14.00,25.00,0,2020-07-12 08:37:07+00:00,
2018-09-15,Alcaldia object (101),0.01,15.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-09-16,Alcaldia object (101),1.50,14.00,24.50,0,2020-07-12 08:37:07+00:00,
2018-09-17,Alcaldia object (101),0.00,13.00,25.50,0,2020-07-12 08:37:07+00:00,
2018-09-18,Alcaldia object (101),28.50,13.00,25.00,0,2020-07-12 08:37:07+00:00,
2018-09-19,Alcaldia object (101),0.00,14.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-09-20,Alcaldia object (101),0.00,13.00,27.00,0,2020-07-12 08:37:07+00:00,
2018-09-21,Alcaldia object (101),6.10,13.00,27.00,0,2020-07-12 08:37:07+00:00,
2018-09-22,Alcaldia object (101),5.50,13.50,26.00,0,2020-07-12 08:37:07+00:00,
2018-09-23,Alcaldia object (101),44.50,12.00,25.50,0,2020-07-12 08:37:07+00:00,
2018-09-24,Alcaldia object (101),2.10,13.00,24.50,0,2020-07-12 08:37:07+00:00,
2018-09-25,Alcaldia object (101),3.00,13.00,26.00,0,2020-07-12 08:37:07+00:00,
2018-09-26,Alcaldia object (101),1.10,13.00,24.00,0,2020-07-12 08:37:07+00:00,
2018-09-27,Alcaldia object (101),0.00,13.00,24.00,0,2020-07-12 08:37:07+00:00,
2018-09-28,Alcaldia object (101),0.00,13.00,23.00,0,2020-07-12 08:37:07+00:00,
2018-09-29,Alcaldia object (101),6.00,12.50,23.50,0,2020-07-12 08:37:07+00:00,
2018-09-30,Alcaldia object (101),0.01,14.00,25.50,0,2020-07-12 08:37:07+00:00,
2018-10-01,Alcaldia object (101),0.00,12.50,25.00,0,2020-07-12 08:37:07+00:00,
2018-10-02,Alcaldia object (101),0.00,13.00,23.00,0,2020-07-12 08:37:07+00:00,
2018-10-03,Alcaldia object (101),0.00,14.00,23.00,0,2020-07-12 08:37:07+00:00,
2018-10-04,Alcaldia object (101),2.50,13.00,25.00,0,2020-07-12 08:37:07+00:00,
2018-10-05,Alcaldia object (101),5.40,11.50,26.00,0,2020-07-12 08:37:07+00:00,
2018-10-06,Alcaldia object (101),11.50,13.50,23.00,0,2020-07-12 08:37:07+00:00,
2018-10-07,Alcaldia object (101),0.00,13.50,23.00,0,2020-07-12 08:37:07+00:00,
