Fecha,Colonia,Precipitación,Temperatura Mínima,Temperatura Máxima,Inundación,Creación,Actualización
2017-06-18,Colonia object (1),0.00,12.50,28.50,0,2020-07-19 19:58:54+00:00,
2017-06-19,Colonia object (1),0.00,14.00,28.00,0,2020-07-19 19:58:54+00:00,
2017-06-20,Colonia object (1),0.00,12.50,27.00,0,2020-07-19 19:58:54+00:00,
2017-06-21,Colonia object (1),0.00,11.00,27.50,0,2020-07-19 19:58:54+00:00,
2017-06-22,Colonia object (1),0.00,10.50,29.00,0,2020-07-19 19:58:54+00:00,
2017-06-23,Colonia object (1),0.00,13.00,31.00,0,2020-07-19 19:58:54+00:00,
2017-06-24,Colonia object (1),0.50,13.00,28.50,0,2020-07-19 19:58:54+00:00,
2017-06-25,Colonia object (1),1.70,15.50,25.50,0,2020-07-19 19:58:54+00:00,
2017-06-26,Colonia object (1),17.80,14.50,26.00,1,2020-07-19 19:58:54+00:00,
2017-06-27,Colonia object (1),3.90,14.50,29.50,1,2020-07-19 19:58:54+00:00,
2017-06-28,Colonia object (1),11.60,14.50,25.50,1,2020-07-19 19:58:54+00:00,
2017-06-29,Colonia object (1),20.00,15.00,26.00,1,2020-07-19 19:58:54+00:00,
2017-06-30,Colonia object (1),7.40,15.00,23.00,1,2020-07-19 19:58:54+00:00,
2017-07-01,Colonia object (1),2.00,13.50,23.00,1,2020-07-19 19:58:54+00:00,
2017-07-02,Colonia object (1),2.50,7.00,26.50,1,2020-07-19 19:58:54+00:00,
2017-07-03,Colonia object (1),17.00,14.00,25.50,1,2020-07-19 19:58:54+00:00,
2017-07-04,Colonia object (1),10.80,14.00,24.50,1,2020-07-19 19:58:54+00:00,
2017-07-05,Colonia object (1),3.20,13.00,24.50,1,2020-07-19 19:58:54+00:00,
2017-07-06,Colonia object (1),0.00,12.00,24.00,0,2020-07-19 19:58:54+00:00,
2017-07-07,Colonia object (1),10.50,12.50,22.00,1,2020-07-19 19:58:54+00:00,
2017-07-08,Colonia object (1),9.30,14.50,21.50,1,2020-07-19 19:58:54+00:00,
2017-07-09,Colonia object (1),13.10,14.00,22.00,1,2020-07-19 19:58:54+00:00,
2017-07-10,Colonia object (1),15.60,13.00,22.00,0,2020-07-19 19:58:54+00:00,
2017-07-11,Colonia object (1),15.30,13.00,23.50,1,2020-07-19 19:58:54+00:00,
2017-07-12,Colonia object (1),22.30,12.50,24.50,1,2020-07-19 19:58:54+00:00,
2017-07-13,Colonia object (1),2.80,13.50,26.00,0,2020-07-19 19:58:54+00:00,
2017-07-14,Colonia object (1),0.00,13.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-07-15,Colonia object (1),0.00,13.50,26.00,0,2020-07-19 19:58:54+00:00,
2017-07-16,Colonia object (1),0.90,13.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-07-17,Colonia object (1),0.00,12.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-07-18,Colonia object (1),1.50,12.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-07-19,Colonia object (1),0.00,14.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-07-20,Colonia object (1),2.10,13.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-07-21,Colonia object (1),0.30,12.50,25.00,0,2020-07-19 19:58:54+00:00,
2017-07-22,Colonia object (1),3.80,13.00,25.50,0,2020-07-19 19:58:54+00:00,
2017-07-23,Colonia object (1),0.50,12.50,24.00,0,2020-07-19 19:58:54+00:00,
2017-07-24,Colonia object (1),0.00,12.50,25.00,0,2020-07-19 19:58:54+00:00,
2017-07-25,Colonia object (1),21.50,13.00,24.00,1,2020-07-19 19:58:54+00:00,
2017-07-26,Colonia object (1),0.00,13.50,25.00,0,2020-07-19 19:58:54+00:00,
2017-07-27,Colonia object (1),3.50,13.50,25.00,0,2020-07-19 19:58:54+00:00,
2017-07-28,Colonia object (1),0.00,12.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-07-29,Colonia object (1),0.50,12.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-07-30,Colonia object (1),0.00,13.00,27.50,0,2020-07-19 19:58:54+00:00,
2017-07-31,Colonia object (1),0.00,13.50,27.50,0,2020-07-19 19:58:54+00:00,
2017-08-01,Colonia object (1),1.70,12.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-08-02,Colonia object (1),0.00,14.00,27.50,0,2020-07-19 19:58:54+00:00,
2017-08-03,Colonia object (1),0.00,15.50,25.00,0,2020-07-19 19:58:54+00:00,
2017-08-04,Colonia object (1),0.30,14.50,27.50,0,2020-07-19 19:58:54+00:00,
2017-08-05,Colonia object (1),0.00,14.50,27.00,0,2020-07-19 19:58:54+00:00,
2017-08-06,Colonia object (1),0.00,14.00,28.00,0,2020-07-19 19:58:54+00:00,
2017-08-07,Colonia object (1),0.50,14.50,29.00,0,2020-07-19 19:58:54+00:00,
2017-08-08,Colonia object (1),0.00,15.50,28.00,0,2020-07-19 19:58:54+00:00,
2017-08-09,Colonia object (1),6.90,14.00,23.00,1,2020-07-19 19:58:54+00:00,
2017-08-10,Colonia object (1),1.00,13.50,18.50,0,2020-07-19 19:58:54+00:00,
2017-08-11,Colonia object (1),0.00,12.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-08-12,Colonia object (1),0.00,12.00,25.00,0,2020-07-19 19:58:54+00:00,
2017-08-13,Colonia object (1),2.00,13.00,25.00,0,2020-07-19 19:58:54+00:00,
2017-08-14,Colonia object (1),2.30,13.00,27.50,0,2020-07-19 19:58:54+00:00,
2017-08-15,Colonia object (1),0.50,13.00,26.50,0,2020-07-19 19:58:54+00:00,
2017-08-16,Colonia object (1),0.00,14.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-08-17,Colonia object (1),4.40,15.00,28.00,1,2020-07-19 19:58:54+00:00,
2017-08-18,Colonia object (1),22.10,14.00,22.00,1,2020-07-19 19:58:54+00:00,
2017-08-19,Colonia object (1),1.50,14.00,25.00,0,2020-07-19 19:58:54+00:00,
2017-08-20,Colonia object (1),0.00,14.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-08-21,Colonia object (1),7.80,15.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-08-22,Colonia object (1),1.40,15.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-08-23,Colonia object (1),0.00,14.00,26.50,0,2020-07-19 19:58:54+00:00,
2017-08-24,Colonia object (1),0.00,14.00,25.50,0,2020-07-19 19:58:54+00:00,
2017-08-25,Colonia object (1),6.20,14.00,24.00,1,2020-07-19 19:58:54+00:00,
2017-08-26,Colonia object (1),21.50,14.00,25.50,1,2020-07-19 19:58:54+00:00,
2017-08-27,Colonia object (1),2.30,14.50,26.00,0,2020-07-19 19:58:54+00:00,
2017-08-28,Colonia object (1),8.00,14.00,24.00,1,2020-07-19 19:58:54+00:00,
2017-08-29,Colonia object (1),51.50,15.00,22.50,1,2020-07-19 19:58:54+00:00,
2017-08-30,Colonia object (1),42.50,14.00,22.50,1,2020-07-19 19:58:54+00:00,
2017-08-31,Colonia object (1),1.20,16.00,23.00,0,2020-07-19 19:58:54+00:00,
2017-09-01,Colonia object (1),0.00,14.00,24.00,0,2020-07-19 19:58:54+00:00,
2017-09-02,Colonia object (1),0.00,15.00,23.00,0,2020-07-19 19:58:54+00:00,
2017-09-03,Colonia object (1),2.10,15.00,23.50,1,2020-07-19 19:58:54+00:00,
2017-09-04,Colonia object (1),2.50,15.00,22.50,1,2020-07-19 19:58:54+00:00,
2017-09-05,Colonia object (1),39.10,14.00,22.50,1,2020-07-19 19:58:54+00:00,
2017-09-06,Colonia object (1),0.00,14.00,22.50,0,2020-07-19 19:58:54+00:00,
2017-09-07,Colonia object (1),0.50,14.50,22.50,0,2020-07-19 19:58:54+00:00,
2017-09-08,Colonia object (1),0.00,14.00,21.50,0,2020-07-19 19:58:54+00:00,
2017-09-09,Colonia object (1),8.80,13.50,19.00,1,2020-07-19 19:58:54+00:00,
2017-09-10,Colonia object (1),0.00,12.50,23.00,0,2020-07-19 19:58:54+00:00,
2017-09-11,Colonia object (1),0.00,11.00,24.00,0,2020-07-19 19:58:54+00:00,
2017-09-12,Colonia object (1),0.00,9.00,24.50,0,2020-07-19 19:58:54+00:00,
2017-09-13,Colonia object (1),0.00,8.50,25.00,0,2020-07-19 19:58:54+00:00,
2017-09-14,Colonia object (1),0.00,8.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-09-15,Colonia object (1),0.00,14.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-09-16,Colonia object (1),0.00,13.50,26.50,0,2020-07-19 19:58:54+00:00,
2017-09-17,Colonia object (1),21.20,13.50,28.00,1,2020-07-19 19:58:54+00:00,
2017-09-18,Colonia object (1),0.00,14.50,26.50,0,2020-07-19 19:58:54+00:00,
2017-09-19,Colonia object (1),0.00,15.00,27.00,0,2020-07-19 19:58:54+00:00,
2017-09-20,Colonia object (1),4.40,15.50,26.00,0,2020-07-19 19:58:54+00:00,
2017-09-21,Colonia object (1),0.00,14.50,25.50,0,2020-07-19 19:58:54+00:00,
2017-09-22,Colonia object (1),0.00,15.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-09-23,Colonia object (1),0.00,14.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-09-24,Colonia object (1),4.10,14.00,26.50,0,2020-07-19 19:58:54+00:00,
2017-09-25,Colonia object (1),0.00,14.00,24.00,0,2020-07-19 19:58:54+00:00,
2017-09-26,Colonia object (1),31.70,15.50,26.50,1,2020-07-19 19:58:54+00:00,
2017-09-27,Colonia object (1),1.10,14.00,25.50,0,2020-07-19 19:58:54+00:00,
2017-09-28,Colonia object (1),1.90,15.00,23.00,0,2020-07-19 19:58:54+00:00,
2017-09-29,Colonia object (1),0.30,14.50,20.00,0,2020-07-19 19:58:54+00:00,
2017-09-30,Colonia object (1),2.60,14.50,20.50,0,2020-07-19 19:58:54+00:00,
2017-10-01,Colonia object (1),2.50,15.00,24.00,1,2020-07-19 19:58:54+00:00,
2017-10-02,Colonia object (1),0.00,14.00,22.50,0,2020-07-19 19:58:54+00:00,
2017-10-03,Colonia object (1),0.00,13.00,22.50,0,2020-07-19 19:58:54+00:00,
2017-10-04,Colonia object (1),0.00,13.00,23.00,0,2020-07-19 19:58:54+00:00,
2017-10-05,Colonia object (1),0.00,13.50,25.50,0,2020-07-19 19:58:54+00:00,
2017-10-06,Colonia object (1),0.00,12.00,24.50,0,2020-07-19 19:58:54+00:00,
2017-10-07,Colonia object (1),0.00,9.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-10-08,Colonia object (1),5.30,9.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-10-09,Colonia object (1),0.00,13.50,27.00,0,2020-07-19 19:58:54+00:00,
2017-10-10,Colonia object (1),0.00,14.00,26.00,0,2020-07-19 19:58:54+00:00,
2017-10-11,Colonia object (1),0.00,12.50,22.50,0,2020-07-19 19:58:54+00:00,
2017-10-12,Colonia object (1),0.00,12.00,22.00,0,2020-07-19 19:58:54+00:00,
2017-10-13,Colonia object (1),0.00,11.50,22.50,0,2020-07-19 19:58:54+00:00,
2017-10-14,Colonia object (1),0.00,12.00,25.00,0,2020-07-19 19:58:54+00:00,
2017-10-15,Colonia object (1),0.00,12.00,25.50,0,2020-07-19 19:58:54+00:00,
2017-10-16,Colonia object (1),0.00,13.50,22.50,0,2020-07-19 19:58:54+00:00,
2017-10-17,Colonia object (1),0.00,13.50,22.00,0,2020-07-19 19:58:54+00:00,
2017-10-18,Colonia object (1),0.00,10.50,25.00,0,2020-07-19 19:58:54+00:00,
2017-10-19,Colonia object (1),0.00,11.50,26.50,0,2020-07-19 19:58:54+00:00,
